Arhar/Tur,Bajra,Groundnut,Jowar,Maize,Moong(Green Gram),Rice,Sesamum,Soyabean,Urad,,,,,,
Arhar/Tur,Bajra,Cotton(lint),Groundnut,Jowar,Maize,Moong(Green Gram),Rice,Sesamum,Soyabean,Urad,,,,,
Arhar/Tur,Bajra,Groundnut,Jowar,Maize,Moong(Green Gram),Rice,Sesamum,Soyabean,Sunflower,Urad,,,,,
Bajra,Groundnut,Jowar,Maize,Rice,Sannhamp,Sesamum,Small millets,Soyabean,Sugarcane,,,,,,
Bajra,Jowar,Maize,Rice,Sannhamp,Sesamum,Soyabean,Sugarcane,,,,,,,,
Arhar/Tur,Bajra,Groundnut,Jowar,Maize,Other Kharif pulses,Rice,Sannhamp,Sesamum,Soyabean,Sugarcane,Sweet potato,,,,
Arhar/Tur,Bajra,Cotton(lint),Dry chillies,Groundnut,Guar seed,Jowar,Maize,Moong(Green Gram),Rice,Sannhamp,Sesamum,Soyabean,Sugarcane,Sweet potato,Urad
Arhar/Tur,Bajra,Dry chillies,Guar seed,Jowar,Maize,Moong(Green Gram),Rice,Sannhamp,Sesamum,Small millets,Soyabean,Sugarcane,Sweet potato,Urad,
Arhar/Tur,Bajra,Dry chillies,Guar seed,Jowar,Maize,Moong(Green Gram),Rice,Sannhamp,Sesamum,Sugarcane,Sweet potato,Urad,,,
Arhar/Tur,Bajra,Dry chillies,Groundnut,Guar seed,Jowar,Maize,Moong(Green Gram),Rice,Sannhamp,Sesamum,Soyabean,Sugarcane,Sweet potato,Urad,
Arhar/Tur,Bajra,Dry chillies,Groundnut,Guar seed,Jowar,Maize,Moong(Green Gram),Rice,Sannhamp,Sesamum,Small millets,Soyabean,Sugarcane,Sweet potato,Urad
Arhar/Tur,Bajra,Dry chillies,Groundnut,Guar seed,Jowar,Maize,Moong(Green Gram),Rice,Sannhamp,Sesamum,Soyabean,Sugarcane,Sweet potato,Urad,
Arhar/Tur,Bajra,Dry chillies,Groundnut,Guar seed,Jowar,Maize,Moong(Green Gram),Rice,Sannhamp,Sesamum,Small millets,Soyabean,Sugarcane,Sweet potato,Urad
Arhar/Tur,Bajra,Dry chillies,Guar seed,Jowar,Maize,Moong(Green Gram),Rice,Sannhamp,Sesamum,Soyabean,Sugarcane,Sweet potato,Urad,,
Barley,Gram,Linseed,Masoor,Peas & beans (Pulses),Rapeseed &Mustard,Sunflower,Wheat,,,,,,,,
Barley,Gram,Linseed,Masoor,Peas & beans (Pulses),Rapeseed &Mustard,Sunflower,Wheat,,,,,,,,
Barley,Gram,Linseed,Masoor,Onion,Peas & beans (Pulses),Rapeseed &Mustard,Wheat,,,,,,,,
Barley,Gram,Linseed,Potato,Rapeseed &Mustard,Turmeric,Wheat,,,,,,,,,
Barley,Gram,Linseed,Potato,Rapeseed &Mustard,Turmeric,Wheat,,,,,,,,,
Barley,Garlic,Gram,Linseed,Masoor,Onion,Other  Rabi pulses,Potato,Rapeseed &Mustard,Turmeric,Wheat,,,,,
Barley,Coriander,Gram,Linseed,Masoor,Onion,Other  Rabi pulses,Potato,Rapeseed &Mustard,Turmeric,Wheat,,,,,
Barley,Coriander,Garlic,Gram,Linseed,Maize,Masoor,Onion,Peas & beans (Pulses),Potato,Rapeseed &Mustard,Wheat,,,,
Barley,Coriander,Garlic,Gram,Linseed,Masoor,Onion,Peas & beans (Pulses),Potato,Rapeseed &Mustard,Turmeric,Wheat,,,,
Barley,Gram,Linseed,Maize,Masoor,Onion,Peas & beans (Pulses),Potato,Rapeseed &Mustard,Wheat,,,,,,
Barley,Coriander,Garlic,Gram,Linseed,Maize,Masoor,Onion,Peas & beans (Pulses),Potato,Rapeseed &Mustard,Turmeric,Wheat,,,
Barley,Coriander,Garlic,Gram,Linseed,Maize,Masoor,Onion,Peas & beans (Pulses),Potato,Rapeseed &Mustard,Wheat,,,,
Barley,Coriander,Garlic,Gram,Linseed,Maize,Masoor,Onion,Peas & beans (Pulses),Potato,Rapeseed &Mustard,Wheat,,,,
Maize,Urad,,,,,,,,,,,,,,
Maize,Moong(Green Gram),Urad,,,,,,,,,,,,,
Maize,Moong(Green Gram),Onion,Urad,,,,,,,,,,,,
Sunflower,,,,,,,,,,,,,,,
Sunflower,,,,,,,,,,,,,,,
Maize,Onion,Sunflower,,,,,,,,,,,,,
Maize,Moong(Green Gram),Onion,Sunflower,Urad,,,,,,,,,,,
Banana,Maize,Moong(Green Gram),Sunflower,Urad,,,,,,,,,,,
Banana,Maize,Moong(Green Gram),Onion,Sunflower,Urad,,,,,,,,,,
Maize,Moong(Green Gram),Urad,,,,,,,,,,,,,
Maize,Moong(Green Gram),Onion,Sunflower,Urad,,,,,,,,,,,
Banana,Maize,Moong(Green Gram),Onion,Sunflower,Urad,,,,,,,,,,
Maize,Moong(Green Gram),Onion,Sunflower,Urad,,,,,,,,,,,
Maize,Moong(Green Gram),Onion,Urad,,,,,,,,,,,,
Potato,Sugarcane,,,,,,,,,,,,,,
Onion,Potato,Sannhamp,Sugarcane,Tobacco,,,,,,,,,,,
Potato,Sannhamp,Sugarcane,Tobacco,Turmeric,,,,,,,,,,,
Banana,Dry chillies,Garlic,Guar seed,Onion,Sweet potato,,,,,,,,,,
Banana,Coriander,Dry chillies,Garlic,Onion,Sweet potato,,,,,,,,,,
Coriander,Dry chillies,Guar seed,,,,,,,,,,,,,